id,name,symbol,slug,cmc_rank,price_usd,volume_24h_usd,market_cap_usd,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,last_updated
1,Bitcoin,BTC,bitcoin,1,93846.78305986778,43616203909.39777,1863353028591.535,0.57394502,0.71322964,11.34007703,7.50652638,-2.88915284,-10.04157469,2025-04-23 20:15:37
1027,Ethereum,ETH,ethereum,2,1805.8051751705855,22782039911.504124,217984322951.0661,0.80618665,2.6275944,14.17784401,-12.91630859,-34.78200424,-45.56976065,2025-04-23 20:15:37
825,Tether USDt,USDT,tether,3,1.0001421512915518,91943567106.62466,145299808850.4918,-0.01793513,-0.01133232,0.01498054,-0.00428941,-0.02228564,-0.01216735,2025-04-23 20:15:37
52,XRP,XRP,xrp,4,2.2287632334860765,5113228602.107312,130146773781.30254,0.61741198,0.37998033,6.50996816,-8.68135816,-13.6676953,-28.81870286,2025-04-23 20:15:37
1839,BNB,BNB,bnb,5,606.3692575487622,1871794850.431448,85431727177.52357,0.13244094,-1.24578236,3.8305157,-4.66157422,-9.48295384,-12.06580891,2025-04-23 20:15:37
5426,Solana,SOL,solana,6,151.76769498950642,4843946729.173457,78511442727.98743,0.68922259,1.38077234,15.09274624,8.49614606,-11.95283244,-39.98028213,2025-04-23 20:15:37
3408,USDC,USDC,usd-coin,7,0.9999112150712215,14263703690.792162,61893768277.93028,-0.00626602,-0.00173852,0.00237644,0.00177001,-0.00714024,-0.00783353,2025-04-23 20:15:37
74,Dogecoin,DOGE,dogecoin,8,0.179186409699883,1899173726.5966532,26694778540.35539,0.65804345,0.51995401,15.38357708,-2.11323186,-27.46448427,-49.13675913,2025-04-23 20:15:37
2010,Cardano,ADA,cardano,9,0.7003867840255273,997139501.5641935,24716859838.408356,0.67678528,2.65835776,14.27626147,-3.82746484,-9.70955349,-29.09948959,2025-04-23 20:15:37
1958,TRON,TRX,tron,10,0.24657539083273738,700074764.4297612,23410282632.307472,-0.08474311,-0.35244528,-0.77931675,8.0344069,4.29429109,-2.42053422,2025-04-23 20:15:37
1975,Chainlink,LINK,chainlink,11,15.097669440053306,550870652.5999953,9920678142.964968,1.06224688,7.07026749,21.71250762,0.3466216,-15.00346353,-41.21353063,2025-04-23 20:15:37
20947,Sui,SUI,sui,12,2.9871069851331833,2925343432.656487,9708046623.524147,1.19783459,9.23514423,44.53953786,25.65358919,-12.24723296,-30.83090881,2025-04-23 20:15:37
5805,Avalanche,AVAX,avalanche,13,22.52745358960541,451363330.98876494,9373460266.631779,0.85969937,1.30987243,19.62825708,5.42692791,-12.94004656,-36.58550058,2025-04-23 20:15:37
3957,UNUS SED LEO,LEO,unus-sed-leo,14,9.125595981645837,4270160.07699046,8428644904.200692,0.05900479,0.90607327,-2.9707722,-6.60749179,-6.0929177,-6.22682366,2025-04-23 20:15:37
512,Stellar,XLM,stellar,15,0.26778033091116665,284556926.0998271,8266722409.231225,0.60679848,0.52630596,13.25115825,-7.28348816,-19.90669635,-37.75341214,2025-04-23 20:15:37
11419,Toncoin,TON,toncoin,16,3.1926657782666883,211513652.68636954,8014520674.231791,-0.32519058,3.42766717,9.59047205,-13.32548503,-14.39498704,-37.75491379,2025-04-23 20:15:37
5994,Shiba Inu,SHIB,shiba-inu,17,1.3528789063115869e-05,281197694.47187066,7971843649.033375,0.94473579,-0.27737251,14.06358528,0.0309802,-13.67620111,-32.63063954,2025-04-23 20:15:37
4642,Hedera,HBAR,hedera,18,0.18085543938500306,275294449.0939814,7637281332.897561,0.54037,-0.72178995,14.46785383,-6.08103978,-16.53134107,-43.90990393,2025-04-23 20:15:37
1831,Bitcoin Cash,BCH,bitcoin-cash,19,358.4452926869368,299725505.0072759,7118823205.359593,0.30119345,-1.39489551,10.91770837,8.14319901,11.36216381,-17.75098001,2025-04-23 20:15:37
6636,Polkadot,DOT,polkadot-new,20,4.106750588451367,239614353.0563606,6450295923.694112,0.66070789,1.88200604,15.2045832,-10.63946208,-18.71985951,-35.30161508,2025-04-23 20:15:37
